id,date,u91,u95,u98,diesel
2,25/07/2023,1989.0,2129.0,2199.0,1699.0
1,25/07/2023,1989.0,2129.0,2199.0,1699.0
0,25/07/2023,1989.0,2134.7,2199.0,1699.0
5,25/07/2023,1989.0,2129.0,2199.0,1699.0
4,25/07/2023,1989.0,2129.0,2199.0,1699.0
3,25/07/2023,1989.0,2129.0,2199.0,1699.0
6,26/07/2023,1899.0,2065.0,2119.0,1713.4
7,27/07/2023,1779.0,1925.0,2005.0,1748.6
8,30/07/2023,1745.0,1895.0,1975.0,1798.4
9,31/07/2023,1745.0,1895.0,1973.2,1815.0
11,04/08/2023,1759.0,1905.0,1965.0,1897.0
10,04/08/2023,1759.0,1905.0,1965.0,1878.0
13,05/08/2023,1765.0,1905.0,1975.0,1923.25
12,05/08/2023,1759.0,1905.0,1965.0,1916.0
14,06/08/2023,1765.0,2084.0,1985.0,1928.5
15,07/08/2023,2099.0,2268.0,2329.0,1954.7
16,08/08/2023,2075.0,2228.6,2295.0,1955.0
17,09/08/2023,2019.0,2175.0,2249.0,1955.0
18,10/08/2023,1965.0,2108.4,2185.0,1975.0
19,11/08/2023,1932.8,2086.9,2154.5,1994.1
20,12/08/2023,1898.8,2067.0,2125.0,1995.0
21,13/08/2023,1899.0,2059.0,2125.0,1998.4
22,14/08/2023,1895.0,2045.0,2115.0,1999.0
23,14/08/2023,1895.0,2045.0,2115.0,1999.0
24,15/08/2023,1849.0,1997.5,2079.0,2027.5
25,16/08/2023,1839.0,1989.0,2056.4,2038.4
26,17/08/2023,1839.0,1989.0,2069.0,2039.0
27,18/08/2023,1849.0,1995.0,2069.0,2039.0
28,19/08/2023,1855.0,2005.0,2075.0,2039.0
29,20/08/2023,1855.0,2004.1,2073.5,2039.0
30,21/08/2023,1855.0,1995.0,2065.0,2039.0
31,29/08/2023,1819.0,1964.1,2035.0,2055.0
32,29/08/2023,1825.0,1965.0,2035.0,2055.0
33,30/08/2023,1825.0,1975.0,2045.0,2055.0
34,31/08/2023,1829.0,1979.0,2047.8,2064.1
35,01/09/2023,2109.0,2305.0,2339.0,2063.8
36,02/09/2023,2139.5,2299.0,2359.0,2063.8
37,03/09/2023,2099.0,2259.0,2319.0,2063.5
38,04/09/2023,1999.0,2158.4,2229.0,2063.8
39,05/09/2023,1995.0,2139.0,2215.0,2063.5
40,06/09/2023,1899.4,2059.0,2134.6,2055.0
41,07/09/2023,1867.1,2013.8,2095.0,2058.6
42,08/09/2023,1857.0,2005.0,2079.0,2067.0
43,09/09/2023,1855.0,2005.0,2077.0,2067.0
44,10/09/2023,1855.0,2005.0,2075.0,2058.6
45,11/09/2023,1855.0,1997.0,2075.0,2058.0
46,12/09/2023,1837.0,1979.0,2055.0,2077.5
47,15/09/2023,1839.0,1995.0,2059.0,2099.0
48,16/09/2023,1849.0,2005.0,2079.0,2107.0
49,17/09/2023,1869.0,2019.0,2085.0,2107.0
50,19/09/2023,1895.0,2035.0,2095.0,2137.5
51,22/09/2023,2199.5,2399.0,2436.5,2139.0
52,23/09/2023,2199.0,2379.0,2426.5,2146.7
53,24/09/2023,2199.0,2358.0,2406.5,2148.6
54,25/09/2023,2159.0,2303.0,2383.0,2139.0
55,26/09/2023,2099.0,2239.0,2309.0,2139.0
56,29/09/2023,1889.0,2029.0,2106.5,2137.5
57,30/09/2023,1879.0,2029.0,2099.0,2137.0
58,01/10/2023,1879.0,2029.0,2099.0,2137.5
59,06/10/2023,1815.0,1955.0,2035.0,2139.0
60,07/10/2023,1799.0,1955.0,2029.0,2134.1
61,08/10/2023,1793.0,1945.0,2015.0,2129.0
62,09/10/2023,1789.0,1935.0,2005.0,2129.0
63,10/10/2023,1789.0,1935.0,1995.0,2129.0
64,11/10/2023,1795.0,2152.2000000000003,2009.0,2129.0
65,12/10/2023,2167.0,2329.0,2382.6,2129.0
66,13/10/2023,2149.0,2295.0,2355.0,2129.0
67,14/10/2023,2125.0,2275.0,2335.0,2128.2
68,15/10/2023,2119.0,2269.0,2335.0,2128.4
69,16/10/2023,2055.0,2235.0,2255.0,2128.4
70,17/10/2023,1995.0,2135.0,2195.0,2085.8
71,18/10/2023,1935.0,2099.0,2157.6,2096.0
72,19/10/2023,1855.0,2018.6,2085.0,2099.0
73,20/10/2023,1855.0,1995.0,2075.0,2099.0
74,21/10/2023,1855.0,2004.0,2075.0,2099.0
75,22/10/2023,1845.0,1992.6,2055.0,2099.0
76,23/10/2023,1835.0,1975.0,2035.0,2107.5
77,24/10/2023,1799.0,1955.0,2015.0,2112.6
78,25/10/2023,1795.0,1935.0,1995.0,2098.2
79,26/10/2023,1795.0,1935.0,1995.0,2098.2
80,27/10/2023,1795.0,1935.0,1995.0,2097.0
81,28/10/2023,1795.0,1945.0,1995.0,2097.0
82,29/10/2023,1785.0,1932.6,1994.3,2097.0
83,30/10/2023,1795.0,2178.0,2015.0,2087.0
84,31/10/2023,2149.0,2318.8,2349.0,2086.5
85,03/11/2023,1999.0,2234.9,2235.5,2075.0
86,04/11/2023,1999.0,2159.0,2229.0,2075.0
87,05/11/2023,1999.0,2149.0,2225.0,2075.0
88,06/11/2023,1965.0,2119.0,2183.4,2073.8
89,07/11/2023,1949.0,2105.0,2169.0,2065.0
90,08/11/2023,1899.0,2078.8,2135.0,2047.0
91,09/11/2023,1795.0,1945.0,2015.0,2035.0
92,10/11/2023,1759.0,1915.0,1989.0,2025.0
93,11/11/2023,1749.0,1898.6,1969.0,2022.2
94,12/11/2023,1747.6,1905.0,1965.0,2020.5
95,17/11/2023,1999.0,2169.0,2225.0,1955.0
96,18/11/2023,1975.0,2128.8,2195.0,1955.0
97,19/11/2023,1929.0,2085.0,2139.0,1953.8
98,20/11/2023,1825.0,1975.0,2049.0,1935.0
99,22/11/2023,1715.0,1864.7,1935.0,1927.0
100,23/11/2023,1695.0,1845.0,1915.0,1907.5
101,24/11/2023,1685.0,1835.0,1902.9,1899.0
102,25/11/2023,1669.0,1809.0,1889.0,1899.0
103,26/11/2023,1669.0,1809.0,1889.0,1897.0
104,01/12/2023,1995.0,2135.0,2195.0,1867.0
105,02/12/2023,1907.0,2059.0,2137.0,1866.2
106,03/12/2023,1709.0,1864.7,1939.0,1847.0
107,04/12/2023,1685.0,1835.0,1905.0,1839.0
108,05/12/2023,1677.6,1815.0,1885.0,1835.0
109,06/12/2023,1635.0,1788.8,1855.0,1818.0
110,07/12/2023,1635.0,1775.0,1848.1,1815.0
111,08/12/2023,1635.0,1775.0,1845.0,1807.0
112,09/12/2023,1635.0,1775.0,1835.0,1807.0
113,10/12/2023,1598.8,1738.8,1822.2,1807.0
114,11/12/2023,1595.0,1735.0,1815.0,1798.2
115,12/12/2023,1595.0,1735.0,1815.0,1798.0
116,13/12/2023,1595.0,1735.0,1807.8,1797.8
117,14/12/2023,1595.0,1745.0,1815.0,1795.0
118,15/12/2023,1625.0,2139.0,1845.0,1795.0
119,16/12/2023,1995.0,2179.0,2195.0,1795.0
120,17/12/2023,1995.0,2135.0,2195.0,1795.0
121,18/12/2023,1945.0,2105.0,2167.6,1795.0
122,19/12/2023,1919.0,2085.0,2145.0,1788.0
123,20/12/2023,1895.0,2055.0,2125.0,1787.5
124,21/12/2023,1895.0,2035.0,2095.0,1783.0
125,02/01/2024,1615.0,1765.0,1835.0,1778.2
126,24/01/2024,1935.0,2085.0,2155.0,1834.1
127,25/01/2024,1919.0,2075.0,2135.0,1835.0
128,26/01/2024,1909.0,2059.4,2135.0,1835.0
129,27/01/2024,1899.0,2055.0,2115.0,1835.0
130,28/01/2024,1889.0,2035.0,2109.0,1844.1
131,29/01/2024,1865.0,2015.0,2085.0,1859.0
132,30/01/2024,1799.0,1950.0,2027.4,1869.0
133,31/01/2024,1795.0,1935.0,2007.4,1869.0
134,01/02/2024,1775.0,1925.0,1993.0,1887.0
